"type", "method", "size", "time", "cost"
o, ls,  2, 4607, 3.412
o, ls,  3, 2435, 2.559
o, ls,  4, 1667, 3.412
o, ls,  5, 1206, 4.265
o, ls,  6,  900, 5.118
o, ls,  7,  771, 5.971
o, ls,  8,  673, 6.824
o, ls,  9,  530, 7.677
o, ls, 10,  477, 8.530
o, li,  3,  346, 2.559
o, li,  4,  260, 3.412
o, li,  5,  208, 4.265
o, li,  6,  173, 5.118
o, li,  7,  149, 5.971
o, li,  8,  130, 6.824
o, li,  9,  116, 7.677
o, li, 10,  104, 8.530
o, sa,  2, 1508, 1.706
o, sa,  3, 1199, 2.559
o, sa,  4,  972, 3.412
o, sa,  5,  812, 4.265
o, sa,  6,  697, 5.118
o, sa,  7,  812, 5.971
o, sa,  8,  609, 6.824
o, sa,  9,  540, 7.677
o, sa, 10,  487, 8.530

