"size","type","time", "cost"
"2","o",1122.85865, 32.414
"4","o",320.577166666667, 20.472
"6","o",157.603166666667, 15.354
"7","o",121.83815, 17.913
"8","o",100.329316666667, 13.648
"9","o",83.8472666666667, 15.354
"10","o",70.75745, 17.060
"11","o",60.0404, 18.766
"12","o",51.0098333333333, 10.236
"13","o",47.0636, 11.089
"20","o",35.6985666666667, 17.060
2, p, 1150, 34.120
3, p, 552, 25.590
4, p, 328, 20.472
5, p, 223, 17.060
6, p, 161, 15.354
7, p, 124, 17.913
8, p, 102, 13.648
9,  p, 86, 15.354
10, p, 72, 17.060
11, p, 61, 18.766
12, p, 52, 10.236
13, p, 48, 11.089
14, p, 41, 11.942
15, p, 39, 12.795
16, p, 38, 13.648
17, p, 34, 14.501
18, p, 33, 15.354
19, p, 32, 16.207
20, p, 31, 17.060
