"type", "method", "size", "time", "cost"
o, ls,  3,  7016, 5.118
o, ls,  4,  4184, 6.824
o, ls,  5,  2963, 4.265
o, ls,  6,  2131, 5.118
o, ls,  8,  1344, 6.824
o, ls, 10,  1077, 8.530
p, ls,  2, 13845, 6.824
p, ls,  3,  7105, 5.118
p, ls,  4,  4273, 6.824
p, ls,  5,  2994, 4.265
p, ls,  6,  2140, 5.118
p, ls,  7,  1836, 5.971
p, ls,  8,  1341, 6.824
p, ls,  9,  1191, 7.677
p, ls, 10,  1073, 8.530
p, ls, 11,   783, 9.383
p, ls, 12,   718, 10.236
o, sa,  4,  3550, 3.412
o, sa,  5,  2999, 4.265
o, sa,  6,  2540, 5.118
o, sa,  8,  2021, 6.824
o, sa, 10,  1776, 8.530
p, sa,  4,  3486, 3.412
p, sa,  5,  2949, 4.265
p, sa,  6,  2485, 5.118
p, sa,  7,  2294, 5.971
p, sa,  8,  1925, 6.824
p, sa,  9,  1802, 7.677
p, sa, 10,  1700, 8.530
p, sa, 11,  1614, 9.383
p, sa, 12,  1323, 10.236
p, li, 10,  6574, 17.060
p, li, 11,  5976, 18.766
p, li, 12,  5478, 20.472
o, li, 10,  6574, 17.060
