1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.10051 s, 499 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.16423 s, 331 MB/s
2015-08-19 01:13:57.767313
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.56019 s, 410 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.19924 s, 328 MB/s
2015-08-19 01:14:05.092772
w, s, s, 1048576, 1, 0, 346.514159
w, s, r, 1048576, 1, 0, 333.264498
r, s, s, 1048576, 1, 0, 284.465185
r, s, r, 1048576, 1, 0, 277.439198
w, s, s, 1048576, 1, 0, 359.346236
w, s, r, 1048576, 1, 0, 339.201935
r, s, s, 1048576, 1, 0, 292.925549
r, s, r, 1048576, 1, 0, 280.820041
w, s, s, 10485760, 1, 0, 337.647288
w, s, r, 10485760, 1, 0, 331.724126
r, s, s, 10485760, 1, 0, 292.131587
r, s, r, 10485760, 1, 0, 282.943058
w, s, s, 10485760, 1, 0, 324.402314
w, s, r, 10485760, 1, 0, 337.816600
r, s, s, 10485760, 1, 0, 305.857971
r, s, r, 10485760, 1, 0, 290.433229
w, s, s, 1048576, 1, 1, 318.359446
w, s, r, 1048576, 1, 1, 323.260566
r, s, s, 1048576, 1, 1, 322.910190
r, s, r, 1048576, 1, 1, 317.881735
w, s, s, 1048576, 1, 1, 321.608300
w, s, r, 1048576, 1, 1, 321.549081
r, s, s, 1048576, 1, 1, 320.475729
r, s, r, 1048576, 1, 1, 319.904027
w, s, s, 10485760, 1, 1, 373.609106
w, s, r, 10485760, 1, 1, 371.000398
r, s, s, 10485760, 1, 1, 420.702101
r, s, r, 10485760, 1, 1, 409.281015
w, s, s, 10485760, 1, 1, 374.429825
w, s, r, 10485760, 1, 1, 371.931855
r, s, s, 10485760, 1, 1, 394.146258
r, s, r, 10485760, 1, 1, 396.034372
r, a, s, 1048576, 1, 0, 298.454194
r, a, r, 1048576, 1, 0, 272.542894
r, a, s, 1048576, 1, 0, 296.331641
r, a, r, 1048576, 1, 0, 273.226623
r, a, s, 1048576, 15, 0, 315.532030
r, a, r, 1048576, 15, 0, 266.942505
r, a, s, 1048576, 15, 0, 309.118165
r, a, r, 1048576, 15, 0, 270.398038
r, a, s, 1048576, 31, 0, 303.365681
r, a, r, 1048576, 31, 0, 266.031029
r, a, s, 1048576, 31, 0, 305.261994
r, a, r, 1048576, 31, 0, 269.854229
r, a, s, 1048576, 62, 0, 312.107612
r, a, r, 1048576, 62, 0, 268.625386
r, a, s, 1048576, 62, 0, 309.066853
r, a, r, 1048576, 62, 0, 270.554800
r, a, s, 10485760, 1, 0, 305.989648
r, a, r, 10485760, 1, 0, 291.139025
r, a, s, 10485760, 1, 0, 315.575828
r, a, r, 10485760, 1, 0, 292.551113
r, a, s, 10485760, 15, 0, 302.251840
r, a, r, 10485760, 15, 0, 289.415883
r, a, s, 10485760, 15, 0, 297.788364
r, a, r, 10485760, 15, 0, 287.116941
r, a, s, 10485760, 31, 0, 295.360435
r, a, r, 10485760, 31, 0, 286.399110
r, a, s, 10485760, 31, 0, 294.108192
r, a, r, 10485760, 31, 0, 280.479328
r, a, s, 10485760, 62, 0, 283.950822
r, a, r, 10485760, 62, 0, 277.762967
r, a, s, 10485760, 62, 0, 278.002796
r, a, r, 10485760, 62, 0, 277.881444
r, a, s, 1048576, 1, 1, 353.977775
r, a, r, 1048576, 1, 1, 271.927289
r, a, s, 1048576, 1, 1, 354.819218
r, a, r, 1048576, 1, 1, 272.725905
r, a, s, 1048576, 15, 1, 453.077589
r, a, r, 1048576, 15, 1, 266.319709
r, a, s, 1048576, 15, 1, 454.235204
r, a, r, 1048576, 15, 1, 302.902031
r, a, s, 1048576, 31, 1, 434.194125
r, a, r, 1048576, 31, 1, 301.582205
r, a, s, 1048576, 31, 1, 428.312173
r, a, r, 1048576, 31, 1, 300.296381
r, a, s, 1048576, 62, 1, 433.263612
r, a, r, 1048576, 62, 1, 303.723746
r, a, s, 1048576, 62, 1, 429.849617
r, a, r, 1048576, 62, 1, 301.085815
r, a, s, 10485760, 1, 1, 454.178304
r, a, r, 10485760, 1, 1, 336.310872
r, a, s, 10485760, 1, 1, 455.060582
r, a, r, 10485760, 1, 1, 331.313104
r, a, s, 10485760, 15, 1, 434.769714
r, a, r, 10485760, 15, 1, 333.266569
r, a, s, 10485760, 15, 1, 431.235163
r, a, r, 10485760, 15, 1, 330.288880
r, a, s, 10485760, 31, 1, 435.734770
r, a, r, 10485760, 31, 1, 326.925759
r, a, s, 10485760, 31, 1, 446.886203
r, a, r, 10485760, 31, 1, 325.866490
r, a, s, 10485760, 62, 1, 443.299172
r, a, r, 10485760, 62, 1, 317.833160
r, a, s, 10485760, 62, 1, 439.403157
r, a, r, 10485760, 62, 1, 313.924804
