25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.206316 s, 508 MB/s
25600+0 records in
25600+0 records out
104857600 bytes (105 MB) copied, 0.307139 s, 341 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.244541 s, 429 MB/s
100+0 records in
100+0 records out
104857600 bytes (105 MB) copied, 0.276764 s, 379 MB/s
w, s, s, 4096, 1, 0, 382.418595
w, s, r, 4096, 1, 0, 369.805483
r, s, s, 4096, 1, 0, 292.952194
r, s, r, 4096, 1, 0, 31.573460
w, s, s, 4096, 1, 0, 366.914700
w, s, r, 4096, 1, 0, 372.494609
r, s, s, 4096, 1, 0, 294.930092
r, s, r, 4096, 1, 0, 31.475540
w, s, s, 1048576, 1, 0, 374.121840
w, s, r, 1048576, 1, 0, 388.275941
r, s, s, 1048576, 1, 0, 298.472616
r, s, r, 1048576, 1, 0, 292.131636
w, s, s, 1048576, 1, 0, 381.829298
w, s, r, 1048576, 1, 0, 392.117335
r, s, s, 1048576, 1, 0, 294.770774
r, s, r, 1048576, 1, 0, 283.385772
w, s, s, 4096, 1, 1, 48.061818
w, s, r, 4096, 1, 1, 52.602720
r, s, s, 4096, 1, 1, 52.077404
r, s, r, 4096, 1, 1, 20.561152
w, s, s, 4096, 1, 1, 52.371961
w, s, r, 4096, 1, 1, 52.702128
r, s, s, 4096, 1, 1, 51.186754
r, s, r, 4096, 1, 1, 20.787626
w, s, s, 1048576, 1, 1, 374.493682
w, s, r, 1048576, 1, 1, 374.357741
r, s, s, 1048576, 1, 1, 342.620096
r, s, r, 1048576, 1, 1, 337.877978
w, s, s, 1048576, 1, 1, 373.095562
w, s, r, 1048576, 1, 1, 372.826153
r, s, s, 1048576, 1, 1, 342.149001
r, s, r, 1048576, 1, 1, 341.247963
r, a, s, 4096, 1, 0, 299.706973
r, a, r, 4096, 1, 0, 31.294685
r, a, s, 4096, 1, 0, 298.387812
r, a, r, 4096, 1, 0, 31.414604
r, a, s, 4096, 15, 0, 298.963473
r, a, r, 4096, 15, 0, 32.251573
r, a, s, 4096, 15, 0, 296.373197
r, a, r, 4096, 15, 0, 34.961322
r, a, s, 4096, 31, 0, 368.287615
r, a, r, 4096, 31, 0, 38.316517
r, a, s, 4096, 31, 0, 364.119907
r, a, r, 4096, 31, 0, 38.254409
r, a, s, 4096, 62, 0, 385.970357
r, a, r, 4096, 62, 0, 38.122335
r, a, s, 4096, 62, 0, 367.835093
r, a, r, 4096, 62, 0, 37.935320
r, a, s, 1048576, 1, 0, 331.928909
r, a, r, 1048576, 1, 0, 319.186182
r, a, s, 1048576, 1, 0, 331.331031
r, a, r, 1048576, 1, 0, 319.732350
r, a, s, 1048576, 15, 0, 381.322372
r, a, r, 1048576, 15, 0, 316.299215
r, a, s, 1048576, 15, 0, 349.083223
r, a, r, 1048576, 15, 0, 315.801946
r, a, s, 1048576, 31, 0, 354.225213
r, a, r, 1048576, 31, 0, 314.489837
r, a, s, 1048576, 31, 0, 338.820875
r, a, r, 1048576, 31, 0, 314.544907
r, a, s, 1048576, 62, 0, 381.736140
r, a, r, 1048576, 62, 0, 315.235219
r, a, s, 1048576, 62, 0, 373.569177
r, a, r, 1048576, 62, 0, 311.751569
r, a, s, 4096, 1, 1, 66.442972
r, a, r, 4096, 1, 1, 38.070957
r, a, s, 4096, 1, 1, 66.752385
r, a, r, 4096, 1, 1, 37.896290
r, a, s, 4096, 15, 1, 193.947788
r, a, r, 4096, 15, 1, 38.231659
r, a, s, 4096, 15, 1, 180.457543
r, a, r, 4096, 15, 1, 38.292835
r, a, s, 4096, 31, 1, 228.465470
r, a, r, 4096, 31, 1, 37.978921
r, a, s, 4096, 31, 1, 232.588605
r, a, r, 4096, 31, 1, 37.628137
r, a, s, 4096, 62, 1, 329.092352
r, a, r, 4096, 62, 1, 38.131591
r, a, s, 4096, 62, 1, 328.586508
r, a, r, 4096, 62, 1, 38.460962
r, a, s, 1048576, 1, 1, 393.813756
r, a, r, 1048576, 1, 1, 323.971173
r, a, s, 1048576, 1, 1, 393.775605
r, a, r, 1048576, 1, 1, 321.328292
r, a, s, 1048576, 15, 1, 481.069274
r, a, r, 1048576, 15, 1, 318.865845
r, a, s, 1048576, 15, 1, 480.364386
r, a, r, 1048576, 15, 1, 316.855770
r, a, s, 1048576, 31, 1, 481.228816
r, a, r, 1048576, 31, 1, 317.704086
r, a, s, 1048576, 31, 1, 480.544973
r, a, r, 1048576, 31, 1, 317.512044
r, a, s, 1048576, 62, 1, 481.033740
r, a, r, 1048576, 62, 1, 316.625821
r, a, s, 1048576, 62, 1, 480.510838
r, a, r, 1048576, 62, 1, 317.405712
