1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.03967 s, 514 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.72572 s, 385 MB/s
2015-11-17 00:42:46.057677
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.06925 s, 342 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.70745 s, 387 MB/s
2015-11-17 00:42:52.858214
w, s, s, 1048576, 1, 0, 390.242814
w, s, r, 1048576, 1, 0, 391.193989
r, s, s, 1048576, 1, 0, 347.047848
r, s, r, 1048576, 1, 0, 338.247432
w, s, s, 1048576, 1, 0, 386.128180
w, s, r, 1048576, 1, 0, 390.727280
r, s, s, 1048576, 1, 0, 335.770281
r, s, r, 1048576, 1, 0, 325.084158
w, s, s, 10485760, 1, 0, 383.858939
w, s, r, 10485760, 1, 0, 389.791227
r, s, s, 10485760, 1, 0, 339.775093
r, s, r, 10485760, 1, 0, 334.315274
w, s, s, 10485760, 1, 0, 381.947729
w, s, r, 10485760, 1, 0, 390.825198
r, s, s, 10485760, 1, 0, 335.640105
r, s, r, 10485760, 1, 0, 330.852456
w, s, s, 1048576, 1, 1, 413.621482
w, s, r, 1048576, 1, 1, 425.607294
r, s, s, 1048576, 1, 1, 398.617415
r, s, r, 1048576, 1, 1, 393.850247
w, s, s, 1048576, 1, 1, 425.445418
w, s, r, 1048576, 1, 1, 424.251755
r, s, s, 1048576, 1, 1, 398.268738
r, s, r, 1048576, 1, 1, 397.030956
w, s, s, 10485760, 1, 1, 451.491270
w, s, r, 10485760, 1, 1, 446.653098
r, s, s, 10485760, 1, 1, 459.814526
r, s, r, 10485760, 1, 1, 458.340408
w, s, s, 10485760, 1, 1, 452.191855
w, s, r, 10485760, 1, 1, 449.752465
r, s, s, 10485760, 1, 1, 458.451427
r, s, r, 10485760, 1, 1, 464.500769
r, a, s, 1048576, 1, 0, 328.415651
r, a, r, 1048576, 1, 0, 319.541462
r, a, s, 1048576, 1, 0, 327.597126
r, a, r, 1048576, 1, 0, 319.234372
r, a, s, 1048576, 15, 0, 324.803234
r, a, r, 1048576, 15, 0, 314.272286
r, a, s, 1048576, 15, 0, 324.450427
r, a, r, 1048576, 15, 0, 314.746559
r, a, s, 1048576, 31, 0, 324.168327
r, a, r, 1048576, 31, 0, 312.845008
r, a, s, 1048576, 31, 0, 324.238462
r, a, r, 1048576, 31, 0, 313.994024
r, a, s, 1048576, 62, 0, 324.811172
r, a, r, 1048576, 62, 0, 312.695712
r, a, s, 1048576, 62, 0, 326.423612
r, a, r, 1048576, 62, 0, 311.934183
r, a, s, 10485760, 1, 0, 324.898172
r, a, r, 10485760, 1, 0, 322.965250
r, a, s, 10485760, 1, 0, 324.364342
r, a, r, 10485760, 1, 0, 324.394023
r, a, s, 10485760, 15, 0, 321.311658
r, a, r, 10485760, 15, 0, 322.420820
r, a, s, 10485760, 15, 0, 321.898817
r, a, r, 10485760, 15, 0, 321.427002
r, a, s, 10485760, 31, 0, 318.172739
r, a, r, 10485760, 31, 0, 319.240476
r, a, s, 10485760, 31, 0, 316.884736
r, a, r, 10485760, 31, 0, 318.655916
r, a, s, 10485760, 62, 0, 312.326133
r, a, r, 10485760, 62, 0, 312.508925
r, a, s, 10485760, 62, 0, 313.756592
r, a, r, 10485760, 62, 0, 312.732338
r, a, s, 1048576, 1, 1, 395.423922
r, a, r, 1048576, 1, 1, 314.697779
r, a, s, 1048576, 1, 1, 393.860733
r, a, r, 1048576, 1, 1, 314.165264
r, a, s, 1048576, 15, 1, 475.893582
r, a, r, 1048576, 15, 1, 313.802879
r, a, s, 1048576, 15, 1, 474.969934
r, a, r, 1048576, 15, 1, 313.388947
r, a, s, 1048576, 31, 1, 474.207736
r, a, r, 1048576, 31, 1, 312.598692
r, a, s, 1048576, 31, 1, 477.801151
r, a, r, 1048576, 31, 1, 312.011087
r, a, s, 1048576, 62, 1, 472.829114
r, a, r, 1048576, 62, 1, 310.589078
r, a, s, 1048576, 62, 1, 476.451931
r, a, r, 1048576, 62, 1, 312.068485
r, a, s, 10485760, 1, 1, 464.517441
r, a, r, 10485760, 1, 1, 323.440610
r, a, s, 10485760, 1, 1, 464.230685
r, a, r, 10485760, 1, 1, 323.825731
r, a, s, 10485760, 15, 1, 473.576004
r, a, r, 10485760, 15, 1, 319.029743
r, a, s, 10485760, 15, 1, 468.334908
r, a, r, 10485760, 15, 1, 318.518218
r, a, s, 10485760, 31, 1, 477.195022
r, a, r, 10485760, 31, 1, 315.950283
r, a, s, 10485760, 31, 1, 478.476608
r, a, r, 10485760, 31, 1, 316.122367
r, a, s, 10485760, 62, 1, 475.921395
r, a, r, 10485760, 62, 1, 311.642290
r, a, s, 10485760, 62, 1, 469.116767
r, a, r, 10485760, 62, 1, 312.969104
