1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.06275 s, 508 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.82092 s, 372 MB/s
2016-01-14
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.31891 s, 316 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.80676 s, 374 MB/s
2016-01-14
w, s, s, 1048576, 1, 0, 387.418157
w, s, r, 1048576, 1, 0, 391.485201
r, s, s, 1048576, 1, 0, 338.937344
r, s, r, 1048576, 1, 0, 337.436459
w, s, s, 1048576, 1, 0, 387.315374
w, s, r, 1048576, 1, 0, 392.741544
r, s, s, 1048576, 1, 0, 332.684137
r, s, r, 1048576, 1, 0, 328.199223
w, s, s, 10485760, 1, 0, 385.904544
w, s, r, 10485760, 1, 0, 388.660531
r, s, s, 10485760, 1, 0, 326.346407
r, s, r, 10485760, 1, 0, 328.402759
w, s, s, 10485760, 1, 0, 385.621464
w, s, r, 10485760, 1, 0, 391.968305
r, s, s, 10485760, 1, 0, 351.158884
r, s, r, 10485760, 1, 0, 321.967383
w, s, s, 1048576, 1, 1, 410.550513
w, s, r, 1048576, 1, 1, 424.832451
r, s, s, 1048576, 1, 1, 391.339420
r, s, r, 1048576, 1, 1, 390.782160
w, s, s, 1048576, 1, 1, 420.031340
w, s, r, 1048576, 1, 1, 419.896636
r, s, s, 1048576, 1, 1, 392.854971
r, s, r, 1048576, 1, 1, 393.558055
w, s, s, 10485760, 1, 1, 448.192853
w, s, r, 10485760, 1, 1, 447.152746
r, s, s, 10485760, 1, 1, 463.705089
r, s, r, 10485760, 1, 1, 462.511122
w, s, s, 10485760, 1, 1, 448.504311
w, s, r, 10485760, 1, 1, 447.851921
r, s, s, 10485760, 1, 1, 446.928576
r, s, r, 10485760, 1, 1, 463.999874
r, a, s, 1048576, 1, 0, 325.690851
r, a, r, 1048576, 1, 0, 319.098364
r, a, s, 1048576, 1, 0, 341.780740
r, a, r, 1048576, 1, 0, 316.622724
r, a, s, 1048576, 15, 0, 341.311862
r, a, r, 1048576, 15, 0, 313.830533
r, a, s, 1048576, 15, 0, 347.454288
r, a, r, 1048576, 15, 0, 314.885534
r, a, s, 1048576, 31, 0, 365.715491
r, a, r, 1048576, 31, 0, 313.792567
r, a, s, 1048576, 31, 0, 350.956452
r, a, r, 1048576, 31, 0, 313.633215
r, a, s, 1048576, 62, 0, 349.676107
r, a, r, 1048576, 62, 0, 311.152328
r, a, s, 1048576, 62, 0, 332.311858
r, a, r, 1048576, 62, 0, 310.880445
r, a, s, 10485760, 1, 0, 329.491075
r, a, r, 10485760, 1, 0, 328.405836
r, a, s, 10485760, 1, 0, 325.282671
r, a, r, 10485760, 1, 0, 325.536196
r, a, s, 10485760, 15, 0, 333.135805
r, a, r, 10485760, 15, 0, 324.474416
r, a, s, 10485760, 15, 0, 337.423245
r, a, r, 10485760, 15, 0, 323.934787
r, a, s, 10485760, 31, 0, 337.487139
r, a, r, 10485760, 31, 0, 323.745922
r, a, s, 10485760, 31, 0, 326.106657
r, a, r, 10485760, 31, 0, 321.479099
r, a, s, 10485760, 62, 0, 317.675096
r, a, r, 10485760, 62, 0, 315.873907
r, a, s, 10485760, 62, 0, 320.481678
r, a, r, 10485760, 62, 0, 312.712916
r, a, s, 1048576, 1, 1, 391.321677
r, a, r, 1048576, 1, 1, 318.589640
r, a, s, 1048576, 1, 1, 390.920031
r, a, r, 1048576, 1, 1, 316.258250
r, a, s, 1048576, 15, 1, 474.558354
r, a, r, 1048576, 15, 1, 314.210104
r, a, s, 1048576, 15, 1, 480.282394
r, a, r, 1048576, 15, 1, 313.397300
r, a, s, 1048576, 31, 1, 482.582769
r, a, r, 1048576, 31, 1, 312.789671
r, a, s, 1048576, 31, 1, 475.026784
r, a, r, 1048576, 31, 1, 316.567291
r, a, s, 1048576, 62, 1, 471.542471
r, a, r, 1048576, 62, 1, 315.022107
r, a, s, 1048576, 62, 1, 480.760073
r, a, r, 1048576, 62, 1, 313.593066
r, a, s, 10485760, 1, 1, 468.286006
r, a, r, 10485760, 1, 1, 326.011675
r, a, s, 10485760, 1, 1, 466.297866
r, a, r, 10485760, 1, 1, 325.712389
r, a, s, 10485760, 15, 1, 480.949999
r, a, r, 10485760, 15, 1, 321.676347
r, a, s, 10485760, 15, 1, 479.782615
r, a, r, 10485760, 15, 1, 323.312389
r, a, s, 10485760, 31, 1, 478.497452
r, a, r, 10485760, 31, 1, 320.600919
r, a, s, 10485760, 31, 1, 471.522416
r, a, r, 10485760, 31, 1, 323.181018
r, a, s, 10485760, 62, 1, 475.814684
r, a, r, 10485760, 62, 1, 314.796950
r, a, s, 10485760, 62, 1, 481.701840
r, a, r, 10485760, 62, 1, 314.243491
