1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 2.26559 s, 463 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.15667 s, 332 MB/s
2015-08-31 16:52:37.918802
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.47053 s, 424 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.21833 s, 326 MB/s
2015-08-31 17:09:12.160326
w, s, s, 1048576, 1, 0, 352.381038
w, s, r, 1048576, 1, 0, 369.884763
r, s, s, 1048576, 1, 0, 299.399008
r, s, r, 1048576, 1, 0, 290.163356
w, s, s, 1048576, 1, 0, 370.755586
w, s, r, 1048576, 1, 0, 377.524327
r, s, s, 1048576, 1, 0, 297.523040
r, s, r, 1048576, 1, 0, 280.441144
w, s, s, 10485760, 1, 0, 362.389016
w, s, r, 10485760, 1, 0, 374.499742
r, s, s, 10485760, 1, 0, 324.046001
r, s, r, 10485760, 1, 0, 296.208491
w, s, s, 10485760, 1, 0, 364.826853
w, s, r, 10485760, 1, 0, 374.279872
r, s, s, 10485760, 1, 0, 302.754439
r, s, r, 10485760, 1, 0, 287.267506
w, s, s, 1048576, 1, 1, 357.211773
w, s, r, 1048576, 1, 1, 371.903713
r, s, s, 1048576, 1, 1, 344.878280
r, s, r, 1048576, 1, 1, 334.670397
w, s, s, 1048576, 1, 1, 373.504105
w, s, r, 1048576, 1, 1, 374.767647
r, s, s, 1048576, 1, 1, 332.185351
r, s, r, 1048576, 1, 1, 328.632231
w, s, s, 10485760, 1, 1, 392.370446
w, s, r, 10485760, 1, 1, 396.536511
r, s, s, 10485760, 1, 1, 409.876265
r, s, r, 10485760, 1, 1, 404.216829
w, s, s, 10485760, 1, 1, 399.741831
w, s, r, 10485760, 1, 1, 396.022255
r, s, s, 10485760, 1, 1, 452.263082
r, s, r, 10485760, 1, 1, 447.332361
r, a, s, 1048576, 1, 0, 365.181412
r, a, r, 1048576, 1, 0, 320.230767
r, a, s, 1048576, 1, 0, 371.049823
r, a, r, 1048576, 1, 0, 318.442632
r, a, s, 1048576, 15, 0, 424.016077
r, a, r, 1048576, 15, 0, 308.460330
r, a, s, 1048576, 15, 0, 371.916400
r, a, r, 1048576, 15, 0, 304.568136
r, a, s, 1048576, 31, 0, 368.908189
r, a, r, 1048576, 31, 0, 305.258340
r, a, s, 1048576, 31, 0, 394.378357
r, a, r, 1048576, 31, 0, 305.152917
r, a, s, 1048576, 62, 0, 340.647404
r, a, r, 1048576, 62, 0, 318.526551
r, a, s, 1048576, 62, 0, 411.171882
r, a, r, 1048576, 62, 0, 308.492652
r, a, s, 10485760, 1, 0, 410.647767
r, a, r, 10485760, 1, 0, 331.193998
r, a, s, 10485760, 1, 0, 378.528232
r, a, r, 10485760, 1, 0, 337.411366
r, a, s, 10485760, 15, 0, 349.941212
r, a, r, 10485760, 15, 0, 319.288914
r, a, s, 10485760, 15, 0, 376.044767
r, a, r, 10485760, 15, 0, 327.275127
r, a, s, 10485760, 31, 0, 353.093825
r, a, r, 10485760, 31, 0, 327.284026
r, a, s, 10485760, 31, 0, 345.000674
r, a, r, 10485760, 31, 0, 324.210459
r, a, s, 10485760, 62, 0, 325.699596
r, a, r, 10485760, 62, 0, 313.996853
r, a, s, 10485760, 62, 0, 333.013171
r, a, r, 10485760, 62, 0, 310.568726
r, a, s, 1048576, 1, 1, 391.081243
r, a, r, 1048576, 1, 1, 314.434225
r, a, s, 1048576, 1, 1, 389.573120
r, a, r, 1048576, 1, 1, 317.667442
r, a, s, 1048576, 15, 1, 470.534300
r, a, r, 1048576, 15, 1, 303.465510
r, a, s, 1048576, 15, 1, 474.766238
r, a, r, 1048576, 15, 1, 304.634504
r, a, s, 1048576, 31, 1, 475.214874
r, a, r, 1048576, 31, 1, 305.877209
r, a, s, 1048576, 31, 1, 474.908113
r, a, r, 1048576, 31, 1, 314.229903
r, a, s, 1048576, 62, 1, 467.829132
r, a, r, 1048576, 62, 1, 305.495641
r, a, s, 1048576, 62, 1, 466.167286
r, a, r, 1048576, 62, 1, 305.097780
r, a, s, 10485760, 1, 1, 451.236856
r, a, r, 10485760, 1, 1, 326.591330
r, a, s, 10485760, 1, 1, 459.073733
r, a, r, 10485760, 1, 1, 342.473352
r, a, s, 10485760, 15, 1, 475.415411
r, a, r, 10485760, 15, 1, 327.879027
r, a, s, 10485760, 15, 1, 470.076070
r, a, r, 10485760, 15, 1, 333.819724
r, a, s, 10485760, 31, 1, 471.913058
r, a, r, 10485760, 31, 1, 323.048554
r, a, s, 10485760, 31, 1, 464.526299
r, a, r, 10485760, 31, 1, 320.000170
r, a, s, 10485760, 62, 1, 468.891390
r, a, r, 10485760, 62, 1, 308.930713
r, a, s, 10485760, 62, 1, 472.637627
r, a, r, 10485760, 62, 1, 311.229251
