1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.20079 s, 328 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 988.995 s, 1.1 MB/s
2015-08-31 16:52:37.918816
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 93.7045 s, 11.2 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 887.998 s, 1.2 MB/s
2015-08-31 17:09:12.160343
w, s, s, 1048576, 1, 0, 337.862394
w, s, r, 1048576, 1, 0, 368.078891
r, s, s, 1048576, 1, 0, 299.999855
r, s, r, 1048576, 1, 0, 286.242445
w, s, s, 1048576, 1, 0, 373.488873
w, s, r, 1048576, 1, 0, 370.277706
r, s, s, 1048576, 1, 0, 289.589737
r, s, r, 1048576, 1, 0, 280.723163
w, s, s, 10485760, 1, 0, 367.294050
w, s, r, 10485760, 1, 0, 376.465544
r, s, s, 10485760, 1, 0, 302.168976
r, s, r, 10485760, 1, 0, 290.482666
w, s, s, 10485760, 1, 0, 365.680568
w, s, r, 10485760, 1, 0, 380.517912
r, s, s, 10485760, 1, 0, 310.307044
r, s, r, 10485760, 1, 0, 296.925315
w, s, s, 1048576, 1, 1, 358.126419
w, s, r, 1048576, 1, 1, 375.083990
r, s, s, 1048576, 1, 1, 344.531688
r, s, r, 1048576, 1, 1, 340.328007
w, s, s, 1048576, 1, 1, 376.554380
w, s, r, 1048576, 1, 1, 375.109926
r, s, s, 1048576, 1, 1, 343.413988
r, s, r, 1048576, 1, 1, 343.368256
w, s, s, 10485760, 1, 1, 400.159779
w, s, r, 10485760, 1, 1, 400.422646
r, s, s, 10485760, 1, 1, 414.169211
r, s, r, 10485760, 1, 1, 412.565926
w, s, s, 10485760, 1, 1, 403.789583
w, s, r, 10485760, 1, 1, 403.539121
r, s, s, 10485760, 1, 1, 439.783244
r, s, r, 10485760, 1, 1, 447.281279
r, a, s, 1048576, 1, 0, 346.441912
r, a, r, 1048576, 1, 0, 317.970087
r, a, s, 1048576, 1, 0, 330.916595
r, a, r, 1048576, 1, 0, 313.768678
r, a, s, 1048576, 15, 0, 385.005813
r, a, r, 1048576, 15, 0, 309.896538
r, a, s, 1048576, 15, 0, 355.553047
r, a, r, 1048576, 15, 0, 301.571072
r, a, s, 1048576, 31, 0, 376.760153
r, a, r, 1048576, 31, 0, 306.158649
r, a, s, 1048576, 31, 0, 414.611538
r, a, r, 1048576, 31, 0, 301.215566
r, a, s, 1048576, 62, 0, 360.320319
r, a, r, 1048576, 62, 0, 313.761822
r, a, s, 1048576, 62, 0, 419.949095
r, a, r, 1048576, 62, 0, 313.141705
r, a, s, 10485760, 1, 0, 392.841798
r, a, r, 10485760, 1, 0, 326.101103
r, a, s, 10485760, 1, 0, 380.340038
r, a, r, 10485760, 1, 0, 331.602683
r, a, s, 10485760, 15, 0, 363.546177
r, a, r, 10485760, 15, 0, 322.242036
r, a, s, 10485760, 15, 0, 371.666730
r, a, r, 10485760, 15, 0, 323.728006
r, a, s, 10485760, 31, 0, 345.249880
r, a, r, 10485760, 31, 0, 323.505541
r, a, s, 10485760, 31, 0, 340.094546
r, a, r, 10485760, 31, 0, 316.737294
r, a, s, 10485760, 62, 0, 323.443833
r, a, r, 10485760, 62, 0, 314.830080
r, a, s, 10485760, 62, 0, 327.203356
r, a, r, 10485760, 62, 0, 306.568211
r, a, s, 1048576, 1, 1, 390.654085
r, a, r, 1048576, 1, 1, 313.601430
r, a, s, 1048576, 1, 1, 392.442554
r, a, r, 1048576, 1, 1, 314.730991
r, a, s, 1048576, 15, 1, 464.464011
r, a, r, 1048576, 15, 1, 302.693278
r, a, s, 1048576, 15, 1, 474.204622
r, a, r, 1048576, 15, 1, 300.282674
r, a, s, 1048576, 31, 1, 465.304610
r, a, r, 1048576, 31, 1, 304.004175
r, a, s, 1048576, 31, 1, 471.434553
r, a, r, 1048576, 31, 1, 314.555051
r, a, s, 1048576, 62, 1, 462.519320
r, a, r, 1048576, 62, 1, 304.163166
r, a, s, 1048576, 62, 1, 464.115465
r, a, r, 1048576, 62, 1, 304.618554
r, a, s, 10485760, 1, 1, 460.370668
r, a, r, 10485760, 1, 1, 323.982504
r, a, s, 10485760, 1, 1, 446.479206
r, a, r, 10485760, 1, 1, 330.767339
r, a, s, 10485760, 15, 1, 474.919590
r, a, r, 10485760, 15, 1, 327.494369
r, a, s, 10485760, 15, 1, 469.249041
r, a, r, 10485760, 15, 1, 325.271674
r, a, s, 10485760, 31, 1, 470.279615
r, a, r, 10485760, 31, 1, 323.080957
r, a, s, 10485760, 31, 1, 468.161607
r, a, r, 10485760, 31, 1, 323.273560
r, a, s, 10485760, 62, 1, 469.975608
r, a, r, 10485760, 62, 1, 309.877394
r, a, s, 10485760, 62, 1, 474.173373
r, a, r, 10485760, 62, 1, 309.430044
