1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 4.50197 s, 233 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.16659 s, 331 MB/s
2015-09-22 03:42:05.115789
100+0 records in
100+0 records out
r, a, s, 10485760, 31, 0, 448.911445
1048576000 bytes (1.0 GB) copied, 2.71871 s, 386 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.3131 s, 316 MB/s
2015-09-22 03:42:14.825140
w, s, s, 1048576, 1, 0, 337.888217
w, s, r, 1048576, 1, 0, 344.790036
r, s, s, 1048576, 1, 0, 408.395843
r, s, r, 1048576, 1, 0, 376.072740
w, s, s, 1048576, 1, 0, 335.212715
w, s, r, 1048576, 1, 0, 341.901564
r, s, s, 1048576, 1, 0, 347.986163
r, s, r, 1048576, 1, 0, 322.603962
w, s, s, 10485760, 1, 0, 322.634491
w, s, r, 10485760, 1, 0, 324.594298
r, s, s, 10485760, 1, 0, 314.380100
r, s, r, 10485760, 1, 0, 304.141243
w, s, s, 10485760, 1, 0, 321.255287
w, s, r, 10485760, 1, 0, 325.195770
r, s, s, 10485760, 1, 0, 435.090238
r, s, r, 10485760, 1, 0, 416.006588
w, s, s, 1048576, 1, 1, 297.642453
w, s, r, 1048576, 1, 1, 299.022300
r, s, s, 1048576, 1, 1, 391.544913
r, s, r, 1048576, 1, 1, 401.130430
w, s, s, 1048576, 1, 1, 283.778435
w, s, r, 1048576, 1, 1, 278.196276
r, s, s, 1048576, 1, 1, 327.215571
r, s, r, 1048576, 1, 1, 328.268759
w, s, s, 10485760, 1, 1, 366.324113
w, s, r, 10485760, 1, 1, 355.969760
r, s, s, 10485760, 1, 1, 242.435196
r, s, r, 10485760, 1, 1, 285.932476
w, s, s, 10485760, 1, 1, 367.490131
w, s, r, 10485760, 1, 1, 372.534214
r, s, s, 10485760, 1, 1, 279.698101
r, s, r, 10485760, 1, 1, 262.349263
r, a, s, 1048576, 1, 0, 391.219073
r, a, r, 1048576, 1, 0, 389.883244
r, a, s, 1048576, 1, 0, 470.945305
r, a, r, 1048576, 1, 0, 431.407453
r, a, s, 1048576, 15, 0, 472.456293
r, a, r, 1048576, 15, 0, 416.401789
r, a, s, 1048576, 15, 0, 468.617531
r, a, r, 1048576, 15, 0, 426.225896
r, a, s, 1048576, 31, 0, 477.277203
r, a, r, 1048576, 31, 0, 421.533041
r, a, s, 1048576, 31, 0, 462.926369
r, a, r, 1048576, 31, 0, 420.829270
r, a, s, 1048576, 62, 0, 454.817422
r, a, r, 1048576, 62, 0, 418.722022
r, a, s, 1048576, 62, 0, 458.681867
r, a, r, 1048576, 62, 0, 417.928504
r, a, s, 10485760, 1, 0, 445.875984
r, a, r, 10485760, 1, 0, 445.160706
r, a, s, 10485760, 1, 0, 464.727953
r, a, r, 10485760, 1, 0, 461.525577
r, a, s, 10485760, 15, 0, 421.467135
r, a, r, 10485760, 15, 0, 426.556242
r, a, s, 10485760, 15, 0, 457.963212
r, a, r, 10485760, 15, 0, 460.363908
r, a, s, 10485760, 31, 0, 386.051124
r, a, r, 10485760, 31, 0, 457.737611
r, a, s, 10485760, 31, 0, 448.911445
r, a, r, 10485760, 31, 0, 455.193646
r, a, s, 10485760, 62, 0, 324.874928
r, a, r, 10485760, 62, 0, 440.000331
r, a, s, 10485760, 62, 0, 452.062168
r, a, r, 10485760, 62, 0, 423.114928
r, a, s, 1048576, 1, 1, 500.725638
r, a, r, 1048576, 1, 1, 415.842438
r, a, s, 1048576, 1, 1, 422.532819
r, a, r, 1048576, 1, 1, 441.137008
r, a, s, 1048576, 15, 1, 394.138070
r, a, r, 1048576, 15, 1, 429.613821
r, a, s, 1048576, 15, 1, 554.361064
r, a, r, 1048576, 15, 1, 412.193100
r, a, s, 1048576, 31, 1, 503.166910
r, a, r, 1048576, 31, 1, 430.654461
r, a, s, 1048576, 31, 1, 532.524698
r, a, r, 1048576, 31, 1, 421.263362
r, a, s, 1048576, 62, 1, 535.446654
r, a, r, 1048576, 62, 1, 423.082365
r, a, s, 1048576, 62, 1, 564.058857
r, a, r, 1048576, 62, 1, 417.529314
r, a, s, 10485760, 1, 1, 239.576378
r, a, r, 10485760, 1, 1, 452.793963
r, a, s, 10485760, 1, 1, 276.006774
r, a, r, 10485760, 1, 1, 465.029783
r, a, s, 10485760, 15, 1, 431.234853
r, a, r, 10485760, 15, 1, 467.187982
r, a, s, 10485760, 15, 1, 448.530939
r, a, r, 10485760, 15, 1, 466.276297
r, a, s, 10485760, 31, 1, 398.641926
r, a, r, 10485760, 31, 1, 453.162167
r, a, s, 10485760, 31, 1, 724.797175
r, a, r, 10485760, 31, 1, 449.013960
r, a, s, 10485760, 62, 1, 435.759532
r, a, r, 10485760, 62, 1, 440.836368
r, a, s, 10485760, 62, 1, 480.268470
r, a, r, 10485760, 62, 1, 441.602361
