1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 4.47677 s, 234 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.16467 s, 331 MB/s
2015-09-22 03:42:05.115837
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.73762 s, 383 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.30849 s, 317 MB/s
r, s, r, 1048576, 1, 0, 353.117105
2015-09-22 03:42:14.825191
w, s, s, 1048576, 1, 0, 338.647511
w, s, r, 1048576, 1, 0, 344.783987
r, s, s, 1048576, 1, 0, 370.672996
r, s, r, 1048576, 1, 0, 353.117105
w, s, s, 1048576, 1, 0, 338.746541
w, s, r, 1048576, 1, 0, 342.049508
r, s, s, 1048576, 1, 0, 298.875554
r, s, r, 1048576, 1, 0, 341.291408
w, s, s, 10485760, 1, 0, 322.785800
w, s, r, 10485760, 1, 0, 328.732010
r, s, s, 10485760, 1, 0, 410.466740
r, s, r, 10485760, 1, 0, 393.925473
w, s, s, 10485760, 1, 0, 321.474464
w, s, r, 10485760, 1, 0, 324.365388
r, s, s, 10485760, 1, 0, 339.107456
r, s, r, 10485760, 1, 0, 328.773919
w, s, s, 1048576, 1, 1, 275.144440
w, s, r, 1048576, 1, 1, 285.266711
r, s, s, 1048576, 1, 1, 427.643182
r, s, r, 1048576, 1, 1, 446.387244
w, s, s, 1048576, 1, 1, 294.027067
w, s, r, 1048576, 1, 1, 267.829506
r, s, s, 1048576, 1, 1, 346.498703
r, s, r, 1048576, 1, 1, 353.522467
w, s, s, 10485760, 1, 1, 350.941533
w, s, r, 10485760, 1, 1, 365.801056
r, s, s, 10485760, 1, 1, 230.078256
r, s, r, 10485760, 1, 1, 248.759845
w, s, s, 10485760, 1, 1, 368.057002
w, s, r, 10485760, 1, 1, 370.673234
r, s, s, 10485760, 1, 1, 238.234550
r, s, r, 10485760, 1, 1, 217.226423
r, a, s, 1048576, 1, 0, 419.418227
r, a, r, 1048576, 1, 0, 380.948433
r, a, s, 1048576, 1, 0, 427.363761
r, a, r, 1048576, 1, 0, 395.373443
r, a, s, 1048576, 15, 0, 455.379662
r, a, r, 1048576, 15, 0, 406.601147
r, a, s, 1048576, 15, 0, 452.942530
r, a, r, 1048576, 15, 0, 407.451101
r, a, s, 1048576, 31, 0, 452.501839
r, a, r, 1048576, 31, 0, 408.801938
r, a, s, 1048576, 31, 0, 447.786793
r, a, r, 1048576, 31, 0, 400.531996
r, a, s, 1048576, 62, 0, 439.016718
r, a, r, 1048576, 62, 0, 401.594783
r, a, s, 1048576, 62, 0, 441.987362
r, a, r, 1048576, 62, 0, 405.299837
r, a, s, 10485760, 1, 0, 435.812169
r, a, r, 10485760, 1, 0, 421.488745
r, a, s, 10485760, 1, 0, 455.756833
r, a, r, 10485760, 1, 0, 447.419489
r, a, s, 10485760, 15, 0, 405.698870
r, a, r, 10485760, 15, 0, 415.772458
r, a, s, 10485760, 15, 0, 438.223101
r, a, r, 10485760, 15, 0, 446.693498
r, a, s, 10485760, 31, 0, 378.840736
r, a, r, 10485760, 31, 0, 439.350287
r, a, s, 10485760, 31, 0, 439.201280
r, a, r, 10485760, 31, 0, 437.439625
r, a, s, 10485760, 62, 0, 312.930956
r, a, r, 10485760, 62, 0, 421.888399
r, a, s, 10485760, 62, 0, 432.427098
r, a, r, 10485760, 62, 0, 409.190654
r, a, s, 1048576, 1, 1, 489.432769
r, a, r, 1048576, 1, 1, 402.781602
r, a, s, 1048576, 1, 1, 416.847373
r, a, r, 1048576, 1, 1, 421.157289
r, a, s, 1048576, 15, 1, 374.698242
r, a, r, 1048576, 15, 1, 412.833064
r, a, s, 1048576, 15, 1, 610.441287
r, a, r, 1048576, 15, 1, 402.285295
r, a, s, 1048576, 31, 1, 499.734699
r, a, r, 1048576, 31, 1, 440.595992
r, a, s, 1048576, 31, 1, 538.450622
r, a, r, 1048576, 31, 1, 446.230953
r, a, s, 1048576, 62, 1, 542.403670
r, a, r, 1048576, 62, 1, 443.106976
r, a, s, 1048576, 62, 1, 566.582106
r, a, r, 1048576, 62, 1, 441.234981
r, a, s, 10485760, 1, 1, 220.038630
r, a, r, 10485760, 1, 1, 470.574931
r, a, s, 10485760, 1, 1, 279.990404
r, a, r, 10485760, 1, 1, 499.789387
r, a, s, 10485760, 15, 1, 408.138976
r, a, r, 10485760, 15, 1, 495.189458
r, a, s, 10485760, 15, 1, 489.233588
r, a, r, 10485760, 15, 1, 492.159381
r, a, s, 10485760, 31, 1, 385.312402
r, a, r, 10485760, 31, 1, 479.262992
r, a, s, 10485760, 31, 1, 529.535343
r, a, r, 10485760, 31, 1, 475.615583
r, a, s, 10485760, 62, 1, 437.910532
r, a, r, 10485760, 62, 1, 469.700824
r, a, s, 10485760, 62, 1, 510.512301
r, a, r, 10485760, 62, 1, 472.193034
