1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 4.78965 s, 219 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.16485 s, 331 MB/s
2015-09-22 04:12:13.916791
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 5.76995 s, 182 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.3221 s, 316 MB/s
r, a, s, 1048576, 15, 1, 380.450339
2015-09-22 04:12:23.992980
w, s, s, 1048576, 1, 0, 334.418667
w, s, r, 1048576, 1, 0, 343.194596
r, s, s, 1048576, 1, 0, 127.909266
r, s, r, 1048576, 1, 0, 130.263112
w, s, s, 1048576, 1, 0, 334.987876
w, s, r, 1048576, 1, 0, 340.351493
r, s, s, 1048576, 1, 0, 249.832949
r, s, r, 1048576, 1, 0, 264.976281
w, s, s, 10485760, 1, 0, 323.830237
w, s, r, 10485760, 1, 0, 330.089329
r, s, s, 10485760, 1, 0, 122.290228
r, s, r, 10485760, 1, 0, 131.882744
w, s, s, 10485760, 1, 0, 323.882573
w, s, r, 10485760, 1, 0, 324.676023
r, s, s, 10485760, 1, 0, 208.831758
r, s, r, 10485760, 1, 0, 242.762190
w, s, s, 1048576, 1, 1, 265.329594
w, s, r, 1048576, 1, 1, 261.873191
r, s, s, 1048576, 1, 1, 132.545961
r, s, r, 1048576, 1, 1, 165.927886
w, s, s, 1048576, 1, 1, 260.782291
w, s, r, 1048576, 1, 1, 289.306237
r, s, s, 1048576, 1, 1, 211.009018
r, s, r, 1048576, 1, 1, 206.075997
w, s, s, 10485760, 1, 1, 358.420162
w, s, r, 10485760, 1, 1, 360.986399
r, s, s, 10485760, 1, 1, 104.262137
r, s, r, 10485760, 1, 1, 208.704091
w, s, s, 10485760, 1, 1, 363.546107
w, s, r, 10485760, 1, 1, 368.177250
r, s, s, 10485760, 1, 1, 99.539259
r, s, r, 10485760, 1, 1, 115.240323
r, a, s, 1048576, 1, 0, 251.563708
r, a, r, 1048576, 1, 0, 231.167221
r, a, s, 1048576, 1, 0, 334.817427
r, a, r, 1048576, 1, 0, 341.287610
r, a, s, 1048576, 15, 0, 376.279437
r, a, r, 1048576, 15, 0, 337.124410
r, a, s, 1048576, 15, 0, 372.179734
r, a, r, 1048576, 15, 0, 343.200682
r, a, s, 1048576, 31, 0, 372.990171
r, a, r, 1048576, 31, 0, 338.144153
r, a, s, 1048576, 31, 0, 376.965132
r, a, r, 1048576, 31, 0, 338.120615
r, a, s, 1048576, 62, 0, 364.863355
r, a, r, 1048576, 62, 0, 341.344154
r, a, s, 1048576, 62, 0, 368.163813
r, a, r, 1048576, 62, 0, 340.055003
r, a, s, 10485760, 1, 0, 384.991711
r, a, r, 10485760, 1, 0, 367.594482
r, a, s, 10485760, 1, 0, 376.058061
r, a, r, 10485760, 1, 0, 353.139759
r, a, s, 10485760, 15, 0, 355.293286
r, a, r, 10485760, 15, 0, 349.487721
r, a, s, 10485760, 15, 0, 374.891808
r, a, r, 10485760, 15, 0, 362.810319
r, a, s, 10485760, 31, 0, 344.885382
r, a, r, 10485760, 31, 0, 373.322267
r, a, s, 10485760, 31, 0, 363.255394
r, a, r, 10485760, 31, 0, 357.973896
r, a, s, 10485760, 62, 0, 306.536090
r, a, r, 10485760, 62, 0, 399.938736
r, a, s, 10485760, 62, 0, 438.047343
r, a, r, 10485760, 62, 0, 395.558251
r, a, s, 1048576, 1, 1, 467.774377
r, a, r, 1048576, 1, 1, 401.528628
r, a, s, 1048576, 1, 1, 416.934514
r, a, r, 1048576, 1, 1, 421.368076
r, a, s, 1048576, 15, 1, 419.804251
r, a, r, 1048576, 15, 1, 413.908076
r, a, s, 1048576, 15, 1, 380.450339
r, a, r, 1048576, 15, 1, 424.583563
r, a, s, 1048576, 31, 1, 468.459336
r, a, r, 1048576, 31, 1, 441.082674
r, a, s, 1048576, 31, 1, 482.581706
r, a, r, 1048576, 31, 1, 429.174704
r, a, s, 1048576, 62, 1, 489.330667
r, a, r, 1048576, 62, 1, 436.758931
r, a, s, 1048576, 62, 1, 468.501740
r, a, r, 1048576, 62, 1, 422.722119
r, a, s, 10485760, 1, 1, 236.368010
r, a, r, 10485760, 1, 1, 465.555342
r, a, s, 10485760, 1, 1, 251.755199
r, a, r, 10485760, 1, 1, 478.433415
r, a, s, 10485760, 15, 1, 424.102992
r, a, r, 10485760, 15, 1, 470.767734
r, a, s, 10485760, 15, 1, 425.234497
r, a, r, 10485760, 15, 1, 467.270003
r, a, s, 10485760, 31, 1, 405.934551
r, a, r, 10485760, 31, 1, 465.615351
r, a, s, 10485760, 31, 1, 489.439752
r, a, r, 10485760, 31, 1, 465.358488
r, a, s, 10485760, 62, 1, 472.931767
r, a, r, 10485760, 62, 1, 413.369232
r, a, s, 10485760, 62, 1, 796.478935
r, a, r, 10485760, 62, 1, 418.698871
