1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.93393 s, 267 MB/s
1000+0 records in
1000+0 records out
1048576000 bytes (1.0 GB) copied, 3.17765 s, 330 MB/s
2015-09-22 03:10:21.974331
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 2.8144 s, 373 MB/s
100+0 records in
100+0 records out
1048576000 bytes (1.0 GB) copied, 3.56718 s, 294 MB/s
2015-09-22 03:10:31.153504
w, s, s, 1048576, 1, 0, 334.295331
w, s, r, 1048576, 1, 0, 326.475168
r, s, s, 1048576, 1, 0, 345.048383
r, s, r, 1048576, 1, 0, 387.182266
w, s, s, 1048576, 1, 0, 333.370195
w, s, r, 1048576, 1, 0, 334.546962
r, s, s, 1048576, 1, 0, 343.712838
r, s, r, 1048576, 1, 0, 340.480868
w, s, s, 10485760, 1, 0, 316.003360
w, s, r, 10485760, 1, 0, 322.004857
r, s, s, 10485760, 1, 0, 370.403024
r, s, r, 10485760, 1, 0, 371.807004
w, s, s, 10485760, 1, 0, 313.348322
w, s, r, 10485760, 1, 0, 324.063614
r, s, s, 10485760, 1, 0, 362.095896
r, s, r, 10485760, 1, 0, 388.104833
w, s, s, 1048576, 1, 1, 230.878837
w, s, r, 1048576, 1, 1, 243.004892
r, s, s, 1048576, 1, 1, 365.477177
r, a, s, 1048576, 62, 0, 360.656584
r, s, r, 1048576, 1, 1, 458.559407
w, s, s, 1048576, 1, 1, 234.838261
w, s, r, 1048576, 1, 1, 214.031820
r, s, s, 1048576, 1, 1, 366.419525
r, s, r, 1048576, 1, 1, 447.674123
w, s, s, 10485760, 1, 1, 360.535332
w, s, r, 10485760, 1, 1, 355.212314
r, s, s, 10485760, 1, 1, 173.613635
r, s, r, 10485760, 1, 1, 215.395086
w, s, s, 10485760, 1, 1, 358.656384
w, s, r, 10485760, 1, 1, 353.598240
r, s, s, 10485760, 1, 1, 167.158571
r, s, r, 10485760, 1, 1, 213.128297
r, a, s, 1048576, 1, 0, 391.490960
r, a, r, 1048576, 1, 0, 352.558183
r, a, s, 1048576, 1, 0, 357.485477
r, a, r, 1048576, 1, 0, 318.320484
r, a, s, 1048576, 15, 0, 343.552810
r, a, r, 1048576, 15, 0, 341.816903
r, a, s, 1048576, 15, 0, 379.808125
r, a, r, 1048576, 15, 0, 343.270459
r, a, s, 1048576, 31, 0, 373.957734
r, a, r, 1048576, 31, 0, 344.205789
r, a, s, 1048576, 31, 0, 366.331108
r, a, r, 1048576, 31, 0, 342.060586
r, a, s, 1048576, 62, 0, 360.656584
r, a, r, 1048576, 62, 0, 333.351997
r, a, s, 1048576, 62, 0, 373.539215
r, a, r, 1048576, 62, 0, 341.884912
r, a, s, 10485760, 1, 0, 338.551514
r, a, r, 10485760, 1, 0, 331.738978
r, a, s, 10485760, 1, 0, 367.162460
r, a, r, 10485760, 1, 0, 368.404174
r, a, s, 10485760, 15, 0, 354.579643
r, a, r, 10485760, 15, 0, 360.172889
r, a, s, 10485760, 15, 0, 369.108579
r, a, r, 10485760, 15, 0, 356.941200
r, a, s, 10485760, 31, 0, 320.413912
r, a, r, 10485760, 31, 0, 354.625747
r, a, s, 10485760, 31, 0, 355.201599
r, a, r, 10485760, 31, 0, 353.545046
r, a, s, 10485760, 62, 0, 284.658716
r, a, r, 10485760, 62, 0, 341.593287
r, a, s, 10485760, 62, 0, 318.166061
r, a, r, 10485760, 62, 0, 323.228169
r, a, s, 1048576, 1, 1, 482.845620
r, a, r, 1048576, 1, 1, 334.902611
r, a, s, 1048576, 1, 1, 487.974696
r, a, r, 1048576, 1, 1, 348.471998
r, a, s, 1048576, 15, 1, 447.216678
r, a, r, 1048576, 15, 1, 365.221853
r, a, s, 1048576, 15, 1, 528.382364
r, a, r, 1048576, 15, 1, 367.132858
r, a, s, 1048576, 31, 1, 454.034625
r, a, r, 1048576, 31, 1, 362.445862
r, a, s, 1048576, 31, 1, 460.611615
r, a, r, 1048576, 31, 1, 365.771766
r, a, s, 1048576, 62, 1, 459.664132
r, a, r, 1048576, 62, 1, 340.904284
r, a, s, 1048576, 62, 1, 436.106974
r, a, r, 1048576, 62, 1, 334.028466
r, a, s, 10485760, 1, 1, 219.195312
r, a, r, 10485760, 1, 1, 392.467699
r, a, s, 10485760, 1, 1, 216.922298
r, a, r, 10485760, 1, 1, 392.294469
r, a, s, 10485760, 15, 1, 441.580390
r, a, r, 10485760, 15, 1, 393.410056
r, a, s, 10485760, 15, 1, 439.909202
r, a, r, 10485760, 15, 1, 384.143660
r, a, s, 10485760, 31, 1, 451.621776
r, a, r, 10485760, 31, 1, 380.198508
r, a, s, 10485760, 31, 1, 430.080907
r, a, r, 10485760, 31, 1, 375.234224
r, a, s, 10485760, 62, 1, 396.184225
r, a, r, 10485760, 62, 1, 338.199203
r, a, s, 10485760, 62, 1, 405.538885
r, a, r, 10485760, 62, 1, 367.610338
